sample_id,response
GSM3029334,R
GSM3029335,NR
GSM3029336,NR
GSM3029337,R
GSM3029338,R
GSM3029341,NR
GSM3029342,R
GSM3029345,R
GSM3029347,R
GSM3029348,NR
GSM3029351,R
GSM3029352,R
GSM3029354,R
GSM3029355,R
GSM3029357,R
GSM3029359,R
GSM3029361,R
GSM3029362,R
GSM3029363,R
GSM3029364,NR
GSM3029365,R
GSM3029371,NR
GSM3029373,R
GSM3029374,R
GSM3029375,NR
GSM3029376,R
GSM3029377,NR
GSM3029378,R
GSM3029381,R
GSM3029383,R
GSM3029384,NR
GSM3029385,NR
GSM3029391,R
GSM3029394,R
GSM3029395,NR
GSM3029396,R
GSM3029399,R
GSM3029400,NR
GSM3029401,R
GSM3029403,R
GSM3029404,R
GSM3029406,R
GSM3029407,NR
GSM3029409,R
GSM3029412,NR
GSM3029414,R
GSM3029415,R
GSM3029416,R
GSM3029418,R
GSM3029419,R
GSM3029420,R
GSM3029421,NR
GSM3029422,R
GSM3029423,R
GSM3029425,R
GSM3029426,R
GSM3029427,R
GSM3029428,R
GSM3029430,NR
GSM3029432,R
GSM3029434,NR
GSM3029435,R
GSM3029436,NR
GSM3029437,R
GSM3029438,R
GSM3029439,R
GSM3029440,R
GSM3029442,R
GSM3029443,R
GSM3029444,NR
GSM3029445,R
GSM3029446,R
GSM3029448,R
GSM3029450,R
GSM3029451,R
GSM3029452,NR
GSM3029453,NR
GSM3029457,NR
GSM3029458,R
GSM3029459,R
GSM3029461,R
GSM3029462,NR
GSM3029464,NR
GSM3029466,R
GSM3029467,R
GSM3029470,R
GSM3029471,NR
GSM3029474,R
GSM3029475,NR
GSM3029477,R
GSM3029478,R
GSM3029479,R
GSM3029480,R
GSM3029481,R
GSM3029482,R
GSM3029485,NR
GSM3029487,NR
GSM3029488,NR
GSM3029489,R
GSM3029491,R
GSM3029492,R
GSM3029493,NR
GSM3029494,R
GSM3029495,R
GSM3029499,R
GSM3029500,R
GSM3029501,NR
GSM3029502,R
GSM3029504,R
GSM3029505,R
GSM3029507,R
GSM3029509,R
GSM3029510,NR
GSM3029511,NR
GSM3029512,R
GSM3029514,R
GSM3029516,NR
GSM3029517,R
GSM3029518,NR
GSM3029520,NR
GSM3029521,R
GSM3029523,R
GSM3029524,NR
GSM3029525,R
GSM3029530,R
GSM3029531,NR
GSM3029532,NR
GSM3029533,R
GSM3029534,NR
GSM3029536,R
GSM3029538,R
GSM3029539,R
GSM3029541,R
GSM3029542,NR
GSM3029544,NR
GSM3029545,R
GSM3029547,R
GSM3029548,R
GSM3029549,R
GSM3029552,R
GSM3029553,NR
GSM3029556,R
GSM3029558,NR
GSM3029560,R
GSM3029561,NR
GSM3029562,NR
GSM3029563,R
GSM3029564,R
GSM3029566,R
GSM3029567,R
GSM3029568,R
GSM3029571,R
GSM3029572,R
GSM3029575,R
GSM3029577,R
GSM3029578,R
GSM3029579,R
GSM3029580,R
GSM3029583,R
GSM3029585,R
GSM3029588,R
GSM3029589,R
GSM3029590,R
GSM3029591,NR
GSM3029594,NR
GSM3029596,NR
GSM3029598,R
GSM3029601,R
GSM3029603,R
GSM3029604,R
GSM3029606,R
GSM3029608,R
GSM3029609,R
GSM3029610,NR
GSM3029614,R
GSM3029616,NR
GSM3029618,R
GSM3029621,NR
GSM3029622,R
GSM3029623,R
GSM3029624,NR
GSM3029625,R
GSM3029626,NR
GSM3029627,NR
GSM3029628,NR
GSM3029629,NR
GSM3029630,R
GSM3029632,R
GSM3029633,NR
GSM3029634,R
GSM3029635,R
GSM3029638,NR
GSM3029639,R
GSM3029640,R
GSM3029641,R
GSM3029642,R
GSM3029643,R
GSM3029645,NR
GSM3029646,R
GSM3029647,R
GSM3029648,R
GSM3029651,R
GSM3029653,R
GSM3029657,R
GSM3029658,R
GSM3029659,NR
GSM3029661,R
GSM3029663,R
GSM3029666,R
GSM3029667,R
GSM3029668,R
GSM3029669,R
GSM3029670,R
GSM3029673,R
GSM3029674,R
GSM3029675,NR
GSM3029677,NR
GSM3029678,NR
GSM3029679,R
GSM3029680,R
GSM3029681,R
GSM3029682,NR
GSM3029683,R
GSM3029684,R
GSM3029685,NR
GSM3029686,NR
GSM3029687,NR
GSM3029688,NR
GSM3029689,R
